S.no,Title,Video ID,Published At,Keyword,Likes,Comments,Views
0,Apple Pay Is Killing the PhysiÖ,wAZZ-UWGVHI,2022-08-23,tech,3407,672,135612
1,The most EXPENSIVE thing I ownÖ,b3x28s61q3c,2022-08-24,tech,76779,4306,1758063
2,My New House Gaming Setup is SÖ,4mgePWWCAmA,2022-08-23,tech,63825,3338,1564007
3,Petrol Vs Liquid Nitrogen | FrÖ,kXiYSI7H2b0,2022-08-23,tech,71566,1426,922918
4,Best Back to School Tech 2022!Ö,ErMwWXQxHp0,2022-08-08,tech,96513,5155,1855644
5,Brewmaster Answers Beer QuestiÖ,18fwz9Itbvo,2021-11-05,tech,33570,1643,943119
6,Tech Monopolies: Last Week TonÖ,jXf04bhcjbg,2022-06-13,tech,135047,9367,5937790
7,I bought the STRANGEST TECH onÖ,2TqOmtTAMRY,2022-08-07,tech,216935,12605,4782514
8,15 Emerging Technologies that Ö,wLlL46pYcg4,2021-12-08,tech,45565,2882,7001236
9,Toxicologist Answers More PoisÖ,R7qsau3X6Ks,2022-07-14,tech,24252,1068,667767
10,Dope Tech: The Most Extreme GaÖ,MEiq0oCUb_8,2022-08-15,tech,118001,4123,2359142
11,Cool Tech Under $50 - August!Ö,pT_9hntWj34,2022-08-06,tech,20999,3091,413179
12,Cool Back to School Tech 2022 Ö,cj4lxmHQV0o,2022-08-13,tech,15322,547,389114
13,Best Tech/EDC Gifts Under $50 Ö,d-BdIo8_wpA,2021-12-15,tech,17866,157,444953
14,My Massive Tech Unboxing 47.0!Ö,eFhhW6fsAbQ,2022-07-09,tech,13217,442,371563
15,Why Millennials Are Leaving SiÖ,N88OE2ZCHBM,2021-06-04,tech,26890,4999,1633059
16,10 Coolest Gadgets and InventiÖ,PKATJiyz0iI,2021-08-13,tech,9562,199,760249
17,17 Coolest Gadgets You Can ActÖ,qiMnSaZWf3M,2022-07-21,tech,11743,143,1086568
18,Almost EVERYONE is Wasting MonÖ,4AnyhHl3_tE,2022-08-14,tech,146978,11105,3186890
19,I bought the THINNEST Tech in Ö,nmY2kgWYwyQ,2022-03-25,tech,363771,13609,11422924
20,iPhone 14 Lineup is NOT what yÖ,HMqyLcNmsec,2022-08-24,tech,2117,486,63650
21,Doctor Answers Gut Questions FÖ,Q2ysbTVlPdk,2022-05-12,tech,42841,1357,1280387
22,Cool Tech Under $50 - July!Ö,zI8KQq5zmyM,2022-07-02,tech,23689,2842,530889
23,Wolfgang Puck Answers RestauraÖ,iEAlq1GPgnc,2021-06-18,tech,55231,2175,2122433
24,Battle Of The Tech - Super BikÖ,IHnhSxizVOA,2022-07-31,tech,1289,183,35948
25,OnePlus 10R vs 10T | Unboxing Ö,Ql1-RZ2FUrc,2022-08-24,tech,970,207,23175
26,Tech Hiring Slowdown: What‚ÄôsÖ,Fpof56HU6SY,2022-08-10,tech,1608,273,78520
27,10 New Tech Gadgets 2022 | YouÖ,bbbQ_X45FaA,2022-05-27,tech,1452,38,63599
28,Taste Expert Answers QuestionsÖ,MtMkU-1p7-0,2022-06-03,tech,35758,2056,1006704
29,Audiologist Answers Hearing QuÖ,QYlXL_8ei6g,2022-08-19,tech,8725,790,257848
30,James Dyson Answers Design QueÖ,zFCFe38EIfE,2021-11-30,tech,110145,3289,2954979
31,My Massive Tech Unboxing 46.0!Ö,LOrkbagIpiY,2022-05-28,tech,12188,326,304037
32,Cool Tech Under $50 - April!Ö,UK5OHUmIgcc,2022-04-02,tech,59458,4159,1541386
33,15 Emerging Technologies That Ö,My2Tr3k1liw,2022-05-14,tech,3494,136,589007
34,Veterinarian Answers Pet QuestÖ,IUwqf08-FKU,2022-05-05,tech,36423,1902,1085076
35,What Is The Best Position For Ö,U48UrDpXGog,2022-08-24,tech,941,221,25594
36,My Everyday Tech: 2022!Ö,#NAME?,2022-01-07,tech,134194,6102,4098623
37,INVENTIONS OF THE FUTURE THAT Ö,_f8Gb-vojoU,2022-03-16,tech,42075,1820,7188648
38,Twitter Whistleblower Accuses Ö,MAeXrShneoQ,2022-08-24,tech,709,128,25745
39,I Did a Terrible Job of This -Ö,AREK4H8k7Ng,2022-07-23,tech,78852,3926,1889567
